roc_auc,pr_auc,brier,brier_skill_score,fold_id,event_type,horizon,model_name,n_train,n_test,pos_rate,roc_auc_raw,pr_auc_raw,brier_raw,brier_val_isotonic,brier_val_sigmoid,cal_method
0.6798113723346092,0.529127078942165,0.22257746983760618,-0.018848672415471945,1,protest,7,model0_persistence,1095,366,0.3224043715846995,,,,,,
0.28102788408966645,0.22504841146837865,0.5872150820039554,-1.6879778405181058,1,protest,7,model1_markets,1095,366,0.3224043715846995,,,,,,
0.7133679606342264,0.582769172129403,0.2596582880244894,-0.18858616835048192,1,protest,7,model2_full,1095,366,0.3224043715846995,,,,,,
0.7119327501366867,0.5864490070253399,0.2585935487890186,-0.18371232304475704,1,protest,7,model3_structural,1095,366,0.3224043715846995,,,,,,
0.7179811372334609,0.5885919046249115,0.2641994493831121,-0.2093733406767413,1,protest,7,model4_fao,1095,366,0.3224043715846995,,,,,,
0.7294286495352652,0.5833466801114224,0.28964705810346986,-0.32585980437767925,1,protest,7,model_lr_nolag,1095,366,0.3224043715846995,,,,,,
0.39577638053581193,0.28040039128381566,0.262759268037495,-0.20278090859864273,1,protest,7,model5_xgb,730,366,0.3224043715846995,0.3568719245489339,0.2871140483219447,0.22774831019416555,0.1732850469742298,0.18375303599430193,isotonic
0.48701476216511763,0.3164294469618746,0.2450686929171753,-0.12180227680471356,1,protest,7,model6_xgb_nolag,730,366,0.3224043715846995,0.4179025423728814,0.3166233549185085,0.23139919512693752,0.16394710312518562,0.18552225594083793,isotonic
0.5125710227272727,0.14894904125281871,0.14119332593950093,-0.3286612864829628,2,protest,7,model0_persistence,1461,364,0.12087912087912088,,,,,,
0.3329545454545455,0.09215270378352453,0.3132301950529616,-1.9475673241290625,2,protest,7,model1_markets,1461,364,0.12087912087912088,,,,,,
0.47258522727272734,0.12949279978672268,0.12001811451519181,-0.12939773443216307,2,protest,7,model2_full,1461,364,0.12087912087912088,,,,,,
0.4830255681818182,0.1212655644610841,0.11386778857652628,-0.07152176954797063,2,protest,7,model3_structural,1461,364,0.12087912087912088,,,,,,
0.49580965909090907,0.220001405257163,0.675079372725324,-5.352650324475464,2,protest,7,model4_fao,1461,364,0.12087912087912088,,,,,,
0.5350142045454546,0.23172817349382352,0.5226827574941711,-3.9185635395559446,2,protest,7,model_lr_nolag,1461,364,0.12087912087912088,,,,,,
0.46839488636363635,0.11683554540697398,0.164730452532302,-0.5501509970681737,2,protest,7,model5_xgb,1095,364,0.12087912087912088,0.4716264204545455,0.15781806985540497,0.11877740815436687,0.20419420177017142,0.210820794689981,isotonic
0.42294034090909094,0.10505172793308387,0.18230170528144043,-0.7155004789041002,2,protest,7,model6_xgb_nolag,1095,364,0.12087912087912088,0.3872159090909091,0.1037506338176185,0.2634816689350032,0.2113863240738762,0.21561139673639357,isotonic
