event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
IND42148,2018-12-22,2,Protests,Peaceful protest,Protesters (India),INC: Indian National Congress,,,India,Rajasthan,Kota,Gadepan,25.187,76.1907,1,National,0,IND
IND42008,2018-12-20,2,Protests,Peaceful protest,Protesters (India),,,,India,Tamil Nadu,Erode,Sathyamangalam,11.5052,77.2382,1,National,0,IND
IND41929,2018-12-19,2,Protests,Peaceful protest,Protesters (India),,,,India,Kerala,Kozhikode,Kozhikode,11.248,75.7804,1,National,0,IND
IND41867,2018-12-18,2,Protests,Peaceful protest,Protesters (India),,,,India,Madhya Pradesh,Dhar,Pithampur,22.6147,75.6811,1,National,0,IND
IND41869,2018-12-18,2,Protests,Peaceful protest,Protesters (India),,,,India,Telangana,Karimnagar,Jammikunta,18.2908,79.4732,1,Subnational,0,IND
IND41871,2018-12-18,2,Protests,Peaceful protest,Protesters (India),,,,India,Telangana,Karimnagar,Veenavanka,18.353,79.4162,1,Subnational,0,IND
IND41872,2018-12-18,2,Protests,Peaceful protest,Protesters (India),,,,India,Telangana,Karimnagar,Huzurabad,18.2008,79.3987,1,Subnational,0,IND
IND41809,2018-12-17,2,Protests,Peaceful protest,Protesters (India),Labor Group (India),,,India,Madhya Pradesh,Mandsaur,Mandsaur,24.0718,75.0698,1,National,0,IND
IND41751,2018-12-16,2,Violence against civilians,Attack,TMC: Trinamool Congress Party,,Civilians (India),TMC: Trinamool Congress Party,India,West Bengal,South 24 Parganas,Harinkhola,22.005,88.2723,1,National,1,IND
IND41756,2018-12-16,2,Protests,Peaceful protest,Protesters (India),,,,India,Tamil Nadu,Erode,Erode,11.3428,77.7274,1,National,0,IND
IND41724,2018-12-15,1,Strategic developments,Looting/property destruction,CPI (Maoist): Communist Party of India (Maoist),,Civilians (India),,India,Jharkhand,Hazaribagh,Kusumbha,23.947,85.277,1,Other,0,IND
IND39962,2018-11-12,1,Strategic developments,Disrupted weapons use,CPI (Maoist): Communist Party of India (Maoist),,Police Forces of India (2014-),,India,Chhattisgarh,Bijapur,Bhairamgarh,19.0064,81.0591,1,National,0,IND
IND38358,2018-10-12,1,Strategic developments,Disrupted weapons use,Military Forces of India (2014-),,,,India,Jammu and Kashmir,Poonch,Krishna Ghati,33.7041,74.0601,2,Subnational,0,IND
IND38256,2018-10-09,1,Strategic developments,Disrupted weapons use,Police Forces of India (2014-),,Unidentified Armed Group (India),,India,Uttar Pradesh,Meerut,Meerut,28.98,77.7063,2,National,0,IND
IND38206,2018-10-08,2,Protests,Protest with intervention,Protesters (India),INC: Indian National Congress,Police Forces of India (2014-),,India,Uttar Pradesh,Lucknow,Lucknow,26.8392,80.9231,1,National,0,IND
IND37938,2018-10-04,2,Protests,Peaceful protest,Protesters (India),Teachers (India),,,India,West Bengal,Kolkata,Kolkata,22.5728,88.3747,1,National,0,IND
IND37743,2018-10-01,2,Protests,Peaceful protest,Protesters (India),Labor Group (India),,,India,Andhra Pradesh,Anantapur,Anantapur,14.6778,77.6081,1,National,0,IND
IND37724,2018-09-30,1,Protests,Peaceful protest,Protesters (India),Labor Group (India),,,India,Jammu and Kashmir,Jammu,Jammu,32.7357,74.8691,1,Subnational,0,IND
IND37725,2018-09-30,1,Strategic developments,Disrupted weapons use,Military Forces of India (2014-),,,,India,Jammu and Kashmir,Poonch,Jhulas,33.6719,74.0621,2,Subnational,0,IND
IND37637,2018-09-29,1,Protests,Peaceful protest,Protesters (India),Labor Group (India),,,India,Jammu and Kashmir,Jammu,Jammu,32.7357,74.8691,1,Subnational,0,IND
IND37639,2018-09-29,1,Riots,Violent demonstration,Rioters (India),,Military Forces of India (2014-),,India,Jammu and Kashmir,Kulgam,Khudwani,33.7073,75.1054,2,Subnational,0,IND
IND37641,2018-09-29,1,Protests,Peaceful protest,Protesters (India),,,,India,Jammu and Kashmir,Poonch,Mendhar,33.6104,74.1388,2,Subnational,0,IND
IND37611,2018-09-28,1,Protests,Protest with intervention,Protesters (India),JRL: Joint Resistance Leadership,Police Forces of India (2014-),,India,Jammu and Kashmir,Anantnag,Anantnag,33.73,75.15,1,Subnational,0,IND
IND37612,2018-09-28,1,Protests,Protest with intervention,Protesters (India),JRL: Joint Resistance Leadership,Police Forces of India (2014-),,India,Jammu and Kashmir,Anantnag,Qazighund,33.6383,75.1426,1,Subnational,0,IND
IND37613,2018-09-28,1,Protests,Protest with intervention,Protesters (India),JRL: Joint Resistance Leadership,Police Forces of India (2014-),,India,Jammu and Kashmir,Baramulla,Sopore,34.2867,74.4723,1,Subnational,0,IND
IND37616,2018-09-28,1,Protests,Peaceful protest,Protesters (India),JWAM: Jammu West Assembly Movement,,,India,Jammu and Kashmir,Jammu,Jammu,32.7357,74.8691,1,Subnational,0,IND
IND37617,2018-09-28,1,Protests,Peaceful protest,Protesters (India),JRL: Joint Resistance Leadership,,,India,Jammu and Kashmir,Pulwama,Tral,33.9271,75.1159,1,Subnational,0,IND
IND37620,2018-09-28,1,Protests,Peaceful protest,Protesters (India),JKNPP: Jammu and Kashmir National Panthers Party,,,India,Jammu and Kashmir,Udhampur,Ramnagar,32.8055,75.3148,1,Subnational,0,IND
IND37657,2018-09-28,2,Riots,Mob violence,Rioters (India),Students (India),Civilians (India),Students (India); Teachers (India); Odia Ethnic Group (India),India,Tripura,West Tripura,Agartala,23.833,91.2864,1,National,0,IND
IND37570,2018-09-27,1,Battles,Armed clash,LeT: Lashkar-e-Taiba,Rioters (India),Military Forces of India (2014-),Police Forces of India (2014-); Police Forces of India (2014-) Central Reserve Police Force,India,Jammu and Kashmir,Anantnag,Qazighund,33.6383,75.1426,1,Subnational,2,IND
IND37573,2018-09-27,1,Protests,Peaceful protest,Protesters (India),Students (India); NSF: National Secular Forum,,,India,Jammu and Kashmir,Jammu,Jammu,32.7357,74.8691,1,Subnational,0,IND
IND37574,2018-09-27,1,Protests,Peaceful protest,Protesters (India),Labor Group (India),,,India,Jammu and Kashmir,Jammu,Jammu,32.7357,74.8691,1,Subnational,0,IND
IND37575,2018-09-27,1,Protests,Peaceful protest,Protesters (India),Former Military Forces of India (2014-),,,India,Jammu and Kashmir,Kathua,Kathua,32.3867,75.5174,1,Subnational,0,IND
IND37576,2018-09-27,1,Violence against civilians,Attack,Military Forces of India (2014-),,Civilians (India),Labor Group (India),India,Jammu and Kashmir,Kupwara,Kralpora,34.5023,74.1119,2,Subnational,1,IND
IND37478,2018-09-26,1,Riots,Mob violence,Rioters (India),Bhela Communal Group (India),Rioters (India),Bhela Communal Group (India),India,Jammu and Kashmir,Rajouri,Bhela,33.3002,74.6255,1,Subnational,1,IND
IND37479,2018-09-26,1,Protests,Peaceful protest,Protesters (India),,,,India,Jammu and Kashmir,Udhampur,Jakhed,32.8914,75.4862,1,Subnational,0,IND
IND37489,2018-09-26,2,Protests,Peaceful protest,Protesters (India),DYFI: Democratic Youth Federation of India,,,India,Andhra Pradesh,Prakasam,Ongole,15.5016,80.0409,1,National,0,IND
IND37502,2018-09-26,1,Protests,Peaceful protest,Protesters (India),JKNPP: Jammu and Kashmir National Panthers Party,,,India,Jammu and Kashmir,Jammu,Jammu,32.7357,74.8691,1,Subnational,0,IND
IND37503,2018-09-26,1,Riots,Violent demonstration,Rioters (India),,Police Forces of India (2014-),,India,Jammu and Kashmir,Pulwama,Pulwama,33.8741,74.9001,1,Subnational,0,IND
IND37506,2018-09-26,1,Protests,Peaceful protest,Protesters (India),Labor Group (India),,,India,Jammu and Kashmir,Udhampur,Udhampur,32.9243,75.1357,1,Subnational,0,IND
IND37449,2018-09-25,1,Protests,Peaceful protest,Protesters (India),ABVP: Akhil Bharatiya Vidyarthi Parishad; Students (India),,,India,Jammu and Kashmir,Kathua,Billawar,32.6136,75.6047,1,Subnational,0,IND
IND37451,2018-09-25,1,Protests,Peaceful protest,Protesters (India),JKPDP: Jammu and Kashmir Peoples Democratic Party; Labor Group (India),,,India,Jammu and Kashmir,Kishtwar,Kishtwar,33.3135,75.7673,1,Subnational,0,IND
IND37452,2018-09-25,1,Protests,Peaceful protest,Protesters (India),,,,India,Jammu and Kashmir,Poonch,Mendhar,33.6104,74.1388,2,Subnational,0,IND
IND37453,2018-09-25,1,Protests,Peaceful protest,Protesters (India),Labor Group (India),,,India,Jammu and Kashmir,Ramban,Ramban,33.2428,75.2351,1,Subnational,0,IND
IND37455,2018-09-25,1,Protests,Peaceful protest,Protesters (India),,,,India,Jammu and Kashmir,Udhampur,Udhampur,32.9243,75.1357,1,Subnational,0,IND
IND37437,2018-09-25,2,Explosions/Remote violence,Grenade,CPI(M): Communist Party of India (Marxist),,Civilians (India),Students (India),India,Kerala,Kannur,Kolayad,11.854,75.7006,1,National,0,IND
IND37390,2018-09-24,1,Protests,Peaceful protest,Protesters (India),Labor Group (India),,,India,Jammu and Kashmir,Jammu,Jammu,32.7357,74.8691,1,Subnational,0,IND
IND37391,2018-09-24,1,Protests,Peaceful protest,Protesters (India),DF: Dogra Front; Shiv Sena,,,India,Jammu and Kashmir,Jammu,Jammu,32.7357,74.8691,1,Subnational,0,IND
IND37392,2018-09-24,1,Protests,Peaceful protest,Protesters (India),ABVP: Akhil Bharatiya Vidyarthi Parishad; Students (India),,,India,Jammu and Kashmir,Jammu,Jammu,32.7357,74.8691,1,Subnational,0,IND
IND37418,2018-09-24,2,Protests,Peaceful protest,Protesters (India),ABVP: Akhil Bharatiya Vidyarthi Parishad; Students (India),,,India,Telangana,Hyderabad,Hyderabad,17.384,78.4563,1,National,0,IND
