event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
MYS740,2022-02-18,1,Protests,Peaceful protest,Protesters (Malaysia),Labor Group (Malaysia); PSM: Socialist Party of Malaysia,,,Malaysia,Selangor,Sabak Bernam,Sabak,3.7698,100.9879,1,National,0
MYS741,2022-02-15,1,Protests,Peaceful protest,Protesters (Malaysia),PKR: People's Justice Party,,,Malaysia,Johor,Batu Pahat,Batu Pahat,1.8548,102.9325,1,National,0
MYS744,2022-02-23,1,Protests,Peaceful protest,Protesters (Malaysia),Labor Group (Malaysia); PSM: Socialist Party of Malaysia; JPKK: Government Contract Workers Network,,,Malaysia,Federal Territory of Putrajaya,Putrajaya,Putrajaya,2.9352,101.6911,1,Other,0
MYS743,2022-02-21,1,Protests,Peaceful protest,Protesters (Malaysia),Labor Group (Malaysia),,,Malaysia,Perak,Larut Matang and Selama,Taiping,4.85,100.7333,1,Other,0
MYS742,2022-02-21,1,Protests,Peaceful protest,Protesters (Malaysia),,,,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,3.1412,101.6865,1,National,0
MYS747,2022-03-01,1,Protests,Peaceful protest,Protesters (Malaysia),,,,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,3.1412,101.6865,1,National,0
MYS749,2022-03-09,1,Protests,Peaceful protest,Protesters (Malaysia),AI: Amnesty International,,,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,3.1412,101.6865,1,National,0
MYS751,2022-03-09,1,Protests,Peaceful protest,Protesters (Malaysia),Tamil Ethnic Group (Malaysia); Muslim Group (Malaysia),,,Malaysia,Federal Territory of Putrajaya,Putrajaya,Putrajaya,2.9352,101.6911,1,National,0
MYS752,2022-03-06,1,Protests,Peaceful protest,Protesters (Malaysia),Women (Malaysia),,,Malaysia,Selangor,Petaling,Petaling Jaya,3.1381,101.5381,1,National,0
MYS756,2022-03-22,1,Protests,Peaceful protest,Protesters (Malaysia),Bersih: Coalition for Clean and Fair Elections; SUARAM: Suara Rakyat Malaysia,,,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,3.1412,101.6865,1,National,0
MYS761,2022-03-29,1,Protests,Peaceful protest,Protesters (Malaysia),Labor Group (Malaysia),,,Malaysia,Federal Territory of Putrajaya,Putrajaya,Putrajaya,2.9352,101.6911,1,National,0
MYS762,2022-03-30,1,Protests,Peaceful protest,Protesters (Malaysia),,,,Malaysia,Selangor,Petaling,Shah Alam,3.085,101.5328,1,National,0
MYS766,2022-03-31,1,Protests,Peaceful protest,Protesters (Malaysia),PSM: Socialist Party of Malaysia,,,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,3.1412,101.6865,1,Other,0
MYS772,2022-04-20,1,Riots,Mob violence,Rioters (Myanmar),Refugees/IDPs (Myanmar); Rohingya Muslim Group (Myanmar); Prisoners (Myanmar),,,Malaysia,Kedah,Bandar Baharu,Relau,5.2322,100.5516,1,National,0
MYS774,2022-04-23,1,Protests,Peaceful protest,Protesters (Malaysia),AI: Amnesty International; Lawyers (Malaysia); MIC: Malaysian Indian Congress,,,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,3.1412,101.6865,1,National,0
MYS773,2022-04-23,1,Protests,Peaceful protest,Protesters (Malaysia),PSM: Socialist Party of Malaysia; Labor Group (Malaysia),,,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,3.1412,101.6865,1,National,0
MYS779,2022-05-27,1,Protests,Peaceful protest,Protesters (Malaysia),Lawyers (Malaysia),,,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,3.1412,101.6865,1,National,0
MYS787,2022-05-22,1,Protests,Peaceful protest,Protesters (Malaysia),PSM: Socialist Party of Malaysia,,,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,3.1412,101.6865,1,Other,0
MYS785,2022-05-22,1,Protests,Peaceful protest,Protesters (Malaysia),PSM: Socialist Party of Malaysia,,,Malaysia,Kedah,Kulim,Kulim,5.3649,100.5617,1,Other,0
MYS784,2022-05-22,1,Protests,Peaceful protest,Protesters (Malaysia),PSM: Socialist Party of Malaysia,,,Malaysia,Perak,Muallim,Slim River,3.8368,101.3978,1,Other,0
MYS782,2022-05-22,1,Protests,Peaceful protest,Protesters (Malaysia),PSM: Socialist Party of Malaysia,,,Malaysia,Selangor,Petaling,Damansara,3.066,101.548,1,Other,0
MYS791,2022-06-06,1,Protests,Peaceful protest,Protesters (Malaysia),Former Military Forces of Malaysia (2021-),,,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,3.1412,101.6865,1,National,0
MYS792,2022-06-07,1,Protests,Peaceful protest,Protesters (Malaysia),Orang Asli Indigenous Group (Malaysia),,,Malaysia,Federal Territory of Putrajaya,Putrajaya,Putrajaya,2.9352,101.6911,1,National,0
MYS793,2022-06-10,1,Protests,Peaceful protest,Protesters (Malaysia),Women (Malaysia),,,Malaysia,Federal Territory of Putrajaya,Putrajaya,Putrajaya,2.9352,101.6911,1,National,0
MYS794,2022-06-17,1,Protests,Peaceful protest,Protesters (Malaysia),Lawyers (Malaysia),,,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,3.1412,101.6865,1,National,0
MYS796,2022-06-12,1,Protests,Peaceful protest,Protesters (Malaysia),,,,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,3.1412,101.6865,1,National,0
MYS797,2022-06-16,2,Protests,Peaceful protest,Protesters (India),,,,Malaysia,Selangor,Gombak,Batu Caves,3.238,101.682,1,National,0
MYS795,2022-06-08,1,Protests,Peaceful protest,Protesters (Malaysia),Orang Asli Indigenous Group (Malaysia),,,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,3.1412,101.6865,1,National,0
MYS800,2022-06-29,1,Protests,Peaceful protest,Protesters (Malaysia),Labor Group (Malaysia); PSM: Socialist Party of Malaysia; JPKK: Government Contract Workers Network,,,Malaysia,Federal Territory of Putrajaya,Putrajaya,Putrajaya,2.9352,101.6911,1,Other-National,0
MYS799,2022-07-01,1,Protests,Peaceful protest,Protesters (Malaysia),AMANAH: National Trust Party,,,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,3.1412,101.6865,1,National,0
MYS801,2022-06-29,1,Protests,Peaceful protest,Protesters (Malaysia),Students (Malaysia),,,Malaysia,Selangor,Gombak,Gombak,3.3114,101.5764,1,National,0
MYS802,2022-06-28,1,Protests,Peaceful protest,Protesters (Malaysia),,,,Malaysia,Negeri Sembilan,Tampin,Tampin,2.4701,102.2302,1,National,0
