feature,coefficient,fold_id,event_type,horizon,model_name
num__gdelt_protest_7d_lag,0.173271849510793,1,strike,7,model0_persistence
num__gdelt_protest_28d_lag,0.0336911879986258,1,strike,7,model0_persistence
num__gdelt_strike_7d_lag,0.19483346521325176,1,strike,7,model0_persistence
num__gdelt_strike_28d_lag,0.3458563821664749,1,strike,7,model0_persistence
num__gdelt_protest_region_14d,-0.11148298812766612,1,strike,7,model0_persistence
num__gdelt_strike_region_14d,0.043908965051465826,1,strike,7,model0_persistence
fe__country_iso3_AUS,3.193686740571092,1,strike,7,model0_persistence
fe__country_iso3_BOL,-1.762530786345061,1,strike,7,model0_persistence
fe__country_iso3_BRA,0.3103782793967976,1,strike,7,model0_persistence
fe__country_iso3_CAN,3.6433314567090536,1,strike,7,model0_persistence
fe__country_iso3_CHL,1.0355215009182552,1,strike,7,model0_persistence
fe__country_iso3_CHN,1.1959001215260796,1,strike,7,model0_persistence
fe__country_iso3_DEU,2.0419688191212075,1,strike,7,model0_persistence
fe__country_iso3_ESP,1.3596663538187412,1,strike,7,model0_persistence
fe__country_iso3_FRA,2.0296450894088887,1,strike,7,model0_persistence
fe__country_iso3_GBR,4.301302658842889,1,strike,7,model0_persistence
fe__country_iso3_GRC,0.8298018653751157,1,strike,7,model0_persistence
fe__country_iso3_HUN,-0.5431458170217689,1,strike,7,model0_persistence
fe__country_iso3_IDN,-0.1477555420523655,1,strike,7,model0_persistence
fe__country_iso3_IND,4.434523737562495,1,strike,7,model0_persistence
fe__country_iso3_IRL,2.628355239772644,1,strike,7,model0_persistence
fe__country_iso3_ITA,0.8536850743418268,1,strike,7,model0_persistence
fe__country_iso3_JPN,-1.0065047717724953,1,strike,7,model0_persistence
fe__country_iso3_KEN,1.149820304697309,1,strike,7,model0_persistence
fe__country_iso3_KOR,2.5234840916384753,1,strike,7,model0_persistence
fe__country_iso3_LAO,-3.9860992391704007,1,strike,7,model0_persistence
fe__country_iso3_MAR,-1.3993286197492822,1,strike,7,model0_persistence
fe__country_iso3_MEX,0.5054595354334349,1,strike,7,model0_persistence
fe__country_iso3_MOZ,-2.2346126726484434,1,strike,7,model0_persistence
fe__country_iso3_MYS,0.1511728216224728,1,strike,7,model0_persistence
fe__country_iso3_NAM,-1.3462899080788255,1,strike,7,model0_persistence
fe__country_iso3_NLD,0.6781673920436825,1,strike,7,model0_persistence
fe__country_iso3_NOR,0.005765913421782504,1,strike,7,model0_persistence
fe__country_iso3_PER,-0.05934625109047646,1,strike,7,model0_persistence
fe__country_iso3_PHL,1.442207259888534,1,strike,7,model0_persistence
fe__country_iso3_POL,-1.6694161234157014,1,strike,7,model0_persistence
fe__country_iso3_PRT,1.5405143451082486,1,strike,7,model0_persistence
fe__country_iso3_SWE,-0.2741058319273294,1,strike,7,model0_persistence
fe__country_iso3_THA,-0.048853334486357945,1,strike,7,model0_persistence
fe__country_iso3_TUR,0.42674880551566263,1,strike,7,model0_persistence
fe__country_iso3_USA,4.367249291712229,1,strike,7,model0_persistence
fe__country_iso3_VNM,0.2021152132158612,1,strike,7,model0_persistence
fe__country_iso3_ZAF,3.1846161643323496,1,strike,7,model0_persistence
fe__country_iso3_ZWE,1.92507778766448,1,strike,7,model0_persistence
num__gdelt_protest_7d_lag,0.13494044509375072,1,strike,7,model1_markets
num__gdelt_protest_28d_lag,0.11575638603833756,1,strike,7,model1_markets
num__gdelt_strike_7d_lag,0.16729813824584627,1,strike,7,model1_markets
num__gdelt_strike_28d_lag,0.3601006542800774,1,strike,7,model1_markets
num__gdelt_protest_region_14d,-0.12068043576842548,1,strike,7,model1_markets
num__gdelt_strike_region_14d,0.025122161003974554,1,strike,7,model1_markets
num__fx_pct_7d,-0.40184046475436425,1,strike,7,model1_markets
num__fx_pct_30d,0.02210426347898782,1,strike,7,model1_markets
num__fx_pct_90d,-0.11692463861907466,1,strike,7,model1_markets
num__fx_vol_7d,-0.15740852968517158,1,strike,7,model1_markets
num__fx_vol_30d,-0.02478705672660952,1,strike,7,model1_markets
