event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
GBR4111,2022-01-04,2,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,Scotland,Glasgow City,Glasgow,55.861,-4.2488,1,Subnational,0,GBR
GBR4120,2022-01-10,1,Protests,Peaceful protest,Protesters (United Kingdom),Labor Group (United Kingdom); IWGB: Independent Workers Union of Great Britain,,,United Kingdom,England,South Yorkshire,Sheffield,53.3807,-1.4707,1,Other,0,GBR
GBR4118,2022-01-10,1,Protests,Peaceful protest,Protesters (United Kingdom),Labor Group (United Kingdom),,,United Kingdom,England,Greater Manchester,Bolton,53.5783,-2.43,1,Subnational,0,GBR
GBR4124,2022-01-14,1,Protests,Peaceful protest,Protesters (United Kingdom),Unite the Union (United Kingdom); Labor Group (United Kingdom),,,United Kingdom,Scotland,Dundee City,Dundee,56.4602,-2.9704,1,Subnational,0,GBR
GBR4126,2022-01-07,1,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,England,Reading,Reading,51.4567,-0.9697,1,National,0,GBR
GBR4128,2022-01-08,1,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,Wales,Cardiff,Cardiff,51.4821,-3.1775,1,Subnational,0,GBR
GBR4156,2022-01-17,1,Protests,Peaceful protest,Protesters (United Kingdom),Unite the Union (United Kingdom); Labor Group (United Kingdom),,,United Kingdom,England,South Yorkshire,Barnsley,53.5511,-1.4778,1,Subnational,0,GBR
GBR4144,2022-01-21,1,Protests,Peaceful protest,Protesters (United Kingdom),Health Workers (United Kingdom),,,United Kingdom,England,Lancashire,Lytham St Annes,53.7485,-2.9991,2,Subnational,0,GBR
GBR4133,2022-01-16,1,Protests,Peaceful protest,Protesters (United Kingdom),BLM: Black Lives Matter,,,United Kingdom,England,Greater London,London - Enfield,51.6538,-0.0799,1,Other,0,GBR
GBR4168,2022-01-18,1,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,Scotland,Glasgow City,Glasgow,55.861,-4.2488,1,Subnational,0,GBR
GBR4154,2022-01-06,1,Protests,Peaceful protest,Protesters (United Kingdom),Unison The Public Service Union; Labor Group (United Kingdom),,,United Kingdom,Wales,Carmarthenshire,Llanelli,51.6797,-4.162,1,National,0,GBR
GBR4155,2022-01-07,1,Protests,Peaceful protest,Protesters (United Kingdom),Unison The Public Service Union; Labor Group (United Kingdom),,,United Kingdom,Wales,Carmarthenshire,Llanelli,51.6797,-4.162,1,National,0,GBR
GBR4167,2022-01-15,1,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,Scotland,Stirling,Stirling,56.1181,-3.936,1,Subnational,0,GBR
GBR4141,2022-01-15,1,Protests,Peaceful protest,Protesters (United Kingdom),Green Party (United Kingdom),,,United Kingdom,England,Southampton,Southampton,50.9025,-1.4021,1,Subnational,0,GBR
GBR4150,2022-01-15,1,Protests,Peaceful protest,Protesters (United Kingdom),LD: Liberal Democrats; Labor Group (United Kingdom); Students (United Kingdom),,,United Kingdom,England,Bath and North East Somerset,Bath,51.3816,-2.3608,1,Subnational,0,GBR
GBR4161,2022-01-15,1,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,Wales,Cardiff,Cardiff,51.4821,-3.1775,1,Subnational,0,GBR
GBR4163,2022-01-15,1,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,Wales,Swansea,Swansea,51.6196,-3.9459,1,Subnational,0,GBR
GBR4162,2022-01-15,1,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,Wales,Newport,Newport,51.5882,-2.9975,1,Subnational,0,GBR
GBR4164,2022-01-15,1,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,Wales,Powys,Newtown,52.5136,-3.3144,1,Subnational,0,GBR
GBR4166,2022-01-15,1,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,England,Worcestershire,Worcester,52.1923,-2.2219,1,Subnational,0,GBR
GBR4179,2022-01-22,1,Protests,Peaceful protest,Protesters (United Kingdom),Health Workers (United Kingdom); Labor Group (United Kingdom),,,United Kingdom,England,West Yorkshire,Leeds,53.7996,-1.5491,1,Subnational-National,0,GBR
GBR4182,2022-01-22,1,Protests,Peaceful protest,Protesters (United Kingdom),Health Workers (United Kingdom); Labor Group (United Kingdom),,,United Kingdom,Scotland,Aberdeen City,Aberdeen,57.1485,-2.0939,1,National,0,GBR
GBR4183,2022-01-22,1,Protests,Peaceful protest,Protesters (United Kingdom),Health Workers (United Kingdom); Labor Group (United Kingdom); World Wide Rally for Freedom,,,United Kingdom,England,Greater Manchester,Manchester,53.4809,-2.2374,1,National,0,GBR
GBR4184,2022-01-22,1,Protests,Peaceful protest,Protesters (United Kingdom),Health Workers (United Kingdom); Labor Group (United Kingdom); World Wide Rally for Freedom,,,United Kingdom,England,Tyne and Wear,Newcastle upon Tyne,54.9742,-1.6135,1,National,0,GBR
GBR4191,2022-01-27,1,Protests,Peaceful protest,Protesters (United Kingdom),"Labor Group (United Kingdom); Unison The Public Service Union; GMB: General, Municipal and Boilermakers Union; Women (United Kingdom)",,,United Kingdom,Scotland,Glasgow City,Glasgow,55.861,-4.2488,1,Subnational,0,GBR
GBR4200,2022-01-23,1,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,England,Kingston upon Hull,Kingston upon Hull,53.7435,-0.3398,1,Subnational,0,GBR
GBR4189,2022-01-24,1,Protests,Peaceful protest,Protesters (United Kingdom),Labor Group (United Kingdom),,,United Kingdom,England,Greater Manchester,Rochdale,53.6074,-2.1547,1,Subnational,0,GBR
GBR4186,2022-01-24,2,Protests,Peaceful protest,Protesters (United Kingdom),Labor Group (United Kingdom),,,United Kingdom,England,Greater Manchester,Bolton,53.5783,-2.43,1,Subnational,0,GBR
GBR4196,2022-01-27,1,Protests,Peaceful protest,Protesters (United Kingdom),SUTR: Stand Up To Racism,,,United Kingdom,England,Greater London,London - Westminster,51.4973,-0.1372,1,New media,0,GBR
GBR4199,2022-01-22,1,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,Wales,Cardiff,Cardiff,51.4821,-3.1775,1,Subnational,0,GBR
GBR4238,2022-02-02,2,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,Scotland,Glasgow City,Glasgow,55.861,-4.2488,1,Subnational,0,GBR
GBR4235,2022-01-29,1,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,Scotland,Glasgow City,Glasgow,55.861,-4.2488,1,Subnational,0,GBR
GBR4219,2022-02-02,1,Protests,Peaceful protest,Protesters (United Kingdom),Insulate Britain,,,United Kingdom,England,Greater London,London - Westminster,51.4973,-0.1372,1,Subnational,0,GBR
GBR4263,2022-02-07,1,Protests,Peaceful protest,Protesters (United Kingdom),Unite the Union (United Kingdom); Labor Group (United Kingdom),,,United Kingdom,England,Greater London,London - Tower Hamlets,51.5099,-0.0059,1,Other-New media,0,GBR
GBR4266,2022-02-05,1,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,England,Hampshire,Basingstoke,51.2684,-1.0886,1,Subnational,0,GBR
GBR4276,2022-02-07,1,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,Scotland,West Dunbartonshire,Clydebank,55.9026,-4.4049,1,Subnational,0,GBR
GBR4245,2022-02-10,1,Protests,Peaceful protest,Protesters (United Kingdom),Farmers (United Kingdom),,,United Kingdom,England,Oxfordshire,Oxford,51.752,-1.2578,1,National,0,GBR
GBR4255,2022-02-09,1,Protests,Peaceful protest,Protesters (United Kingdom),Students (United Kingdom); Women (United Kingdom),,,United Kingdom,Scotland,City of Edinburgh,Edinburgh,55.9412,-3.2755,1,Subnational,0,GBR
GBR4265,2022-02-04,2,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,England,West Midlands,Walsall,52.5844,-1.9851,1,Subnational,0,GBR
GBR4262,2022-02-04,1,Protests,Peaceful protest,Protesters (United Kingdom),Unite the Union (United Kingdom); Labor Group (United Kingdom),,,United Kingdom,England,North East Lincolnshire,Grimsby,53.5677,-0.0745,1,Subnational,0,GBR
GBR4270,2022-02-05,1,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,England,Greater Manchester,Manchester,53.4809,-2.2374,1,Subnational,0,GBR
GBR4271,2022-02-05,1,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,England,Greater Manchester,Manchester,53.4809,-2.2374,1,Subnational,0,GBR
GBR4269,2022-02-05,1,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,England,Greater Manchester,Manchester,53.4809,-2.2374,1,Subnational,0,GBR
GBR4244,2022-02-08,1,Protests,Peaceful protest,Protesters (United Kingdom),Farmers (United Kingdom),,,United Kingdom,England,Oxfordshire,Oxford,51.752,-1.2578,1,Subnational,0,GBR
GBR4256,2022-02-10,1,Protests,Peaceful protest,Protesters (United Kingdom),SUTR: Stand Up To Racism,,,United Kingdom,England,Greater London,London - Westminster,51.4973,-0.1372,1,New media,0,GBR
GBR4257,2022-02-10,1,Protests,Peaceful protest,Protesters (United Kingdom),Teachers (United Kingdom); NEU: National Education Union,,,United Kingdom,England,Bath and North East Somerset,Bath,51.3816,-2.3608,1,Subnational,0,GBR
GBR4131,2022-01-09,1,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,England,Dorset,Grove,50.5524,-2.4266,1,Subnational,0,GBR
GBR4314,2022-02-14,1,Protests,Peaceful protest,Protesters (United Kingdom),Labor Group (United Kingdom),,,United Kingdom,England,Greater London,London - Southwark,51.5035,-0.0804,1,Other,0,GBR
GBR4284,2022-02-11,1,Protests,Peaceful protest,Protesters (United Kingdom),Labor Group (United Kingdom),,,United Kingdom,Scotland,Glasgow City,Glasgow,55.861,-4.2488,1,Subnational,0,GBR
GBR4282,2022-02-10,1,Protests,Peaceful protest,Protesters (United Kingdom),Teachers (United Kingdom); NEU: National Education Union,,,United Kingdom,England,Greater London,London - Camden,51.529,-0.1255,1,Subnational,0,GBR
GBR4299,2022-02-12,1,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,England,West Midlands,Birmingham,52.4804,-1.8982,1,International,0,GBR
GBR4291,2022-02-12,1,Protests,Peaceful protest,Protesters (United Kingdom),People's Assembly Against Austerity; Unison The Public Service Union; Labor Group (United Kingdom); UCU: University and College Union; Teachers (United Kingdom),,,United Kingdom,England,Merseyside,Liverpool,53.4072,-2.9917,1,Subnational,0,GBR
GBR4327,2022-02-17,1,Protests,Peaceful protest,Protesters (United Kingdom),Students (United Kingdom); Labor Group (United Kingdom),,,United Kingdom,England,Merseyside,Liverpool,53.4072,-2.9917,1,Subnational,0,GBR
GBR4312,2022-02-14,1,Protests,Peaceful protest,Protesters (United Kingdom),UCU: University and College Union; Teachers (United Kingdom),,,United Kingdom,England,Cambridgeshire,Cambridge,52.2034,0.1231,1,Subnational,0,GBR
GBR4313,2022-02-14,1,Protests,Peaceful protest,Protesters (United Kingdom),UCU: University and College Union; Teachers (United Kingdom),,,United Kingdom,England,Essex,Colchester,51.8897,0.8995,1,Subnational,0,GBR
GBR4311,2022-02-13,1,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,Scotland,West Lothian,Linlithgow,55.9771,-3.6015,1,Subnational,0,GBR
GBR4283,2022-02-10,1,Protests,Peaceful protest,Protesters (United Kingdom),Teachers (United Kingdom); NEU: National Education Union,,,United Kingdom,England,Shropshire,Shrewsbury,52.7078,-2.7541,1,Subnational,0,GBR
GBR4310,2022-02-13,1,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,Scotland,Fife,Cupar,56.3193,-3.0125,1,Subnational,0,GBR
GBR4320,2022-02-14,1,Protests,Peaceful protest,Protesters (United Kingdom),UCU: University and College Union; Teachers (United Kingdom); Students (United Kingdom),,,United Kingdom,Scotland,Glasgow City,Glasgow,55.861,-4.2488,1,Subnational,0,GBR
GBR4344,2022-02-23,1,Protests,Peaceful protest,Protesters (United Kingdom),Students (United Kingdom); Labor Group (United Kingdom),,,United Kingdom,England,Greater London,London - Camden,51.529,-0.1255,1,Other,0,GBR
GBR4376,2022-02-25,1,Protests,Protest with intervention,Protesters (United Kingdom),Students (United Kingdom); Labor Group (United Kingdom),Private Security Forces (United Kingdom),,United Kingdom,England,Greater London,London - Camden,51.529,-0.1255,1,Other,0,GBR
GBR4337,2022-02-25,1,Protests,Peaceful protest,Protesters (United Kingdom),Health Workers (United Kingdom),,,United Kingdom,Scotland,Glasgow City,Glasgow,55.861,-4.2488,1,Subnational,0,GBR
GBR4341,2022-02-23,1,Protests,Peaceful protest,Protesters (United Kingdom),"RMT: National Union of Rail, Maritime and Transport Workers; Labor Group (United Kingdom)",,,United Kingdom,England,Greater London,London - Westminster,51.4973,-0.1372,1,Subnational,0,GBR
GBR4336,2022-02-24,1,Protests,Peaceful protest,Protesters (United Kingdom),Health Workers (United Kingdom),,,United Kingdom,England,Greater London,London - Newham,51.5077,0.0469,1,Subnational,0,GBR
GBR4349,2022-02-21,1,Protests,Peaceful protest,Protesters (United Kingdom),Teachers (United Kingdom); UCU: University and College Union,,,United Kingdom,Scotland,Glasgow City,Glasgow,55.861,-4.2488,1,Subnational,0,GBR
GBR4367,2022-02-19,1,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,England,Southampton,Southampton,50.9025,-1.4021,1,Subnational,0,GBR
GBR4378,2022-02-19,1,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,England,Hertfordshire,Potters Bar,51.7034,-0.1947,1,Subnational,0,GBR
GBR4356,2022-02-21,1,Protests,Peaceful protest,Protesters (United Kingdom),Teachers (United Kingdom); UCU: University and College Union,,,United Kingdom,England,Tyne and Wear,Newcastle upon Tyne,54.9742,-1.6135,1,New media,0,GBR
GBR4358,2022-02-21,1,Protests,Peaceful protest,Protesters (United Kingdom),Teachers (United Kingdom); UCU: University and College Union,,,United Kingdom,England,York,York,53.9591,-1.0815,1,New media,0,GBR
GBR4354,2022-02-22,1,Protests,Peaceful protest,Protesters (United Kingdom),Teachers (United Kingdom); UCU: University and College Union,,,United Kingdom,Scotland,City of Edinburgh,Edinburgh,55.9412,-3.2755,1,New media,0,GBR
GBR4357,2022-02-21,1,Protests,Peaceful protest,Protesters (United Kingdom),Teachers (United Kingdom); UCU: University and College Union,,,United Kingdom,Northern Ireland,Causeway Coast and Glens,Coleraine,55.1315,-6.6718,1,New media,0,GBR
GBR4377,2022-02-22,1,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,Wales,Cardiff,Cardiff,51.4821,-3.1775,1,Subnational,0,GBR
GBR4188,2022-01-22,1,Protests,Peaceful protest,Protesters (United Kingdom),Labor Group (United Kingdom),,,United Kingdom,England,Greater Manchester,Bury,53.5933,-2.2966,2,Subnational,0,GBR
GBR4187,2022-01-24,1,Protests,Peaceful protest,Protesters (United Kingdom),Labor Group (United Kingdom),,,United Kingdom,England,Greater Manchester,Bury,53.5933,-2.2966,1,Subnational,0,GBR
GBR4234,2022-02-01,2,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,England,Greater Manchester,Manchester,53.4809,-2.2374,2,Subnational,0,GBR
GBR4170,2022-01-18,1,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,England,Northamptonshire,Thrapston,52.3961,-0.5366,1,Subnational,0,GBR
GBR4405,2022-02-27,1,Protests,Peaceful protest,Protesters (United Kingdom),SUTR: Stand Up To Racism,,,United Kingdom,England,Greater London,London - Westminster,51.4973,-0.1372,1,Other-New media,0,GBR
GBR4422,2022-03-03,1,Protests,Peaceful protest,Protesters (United Kingdom),Women (United Kingdom),,,United Kingdom,Scotland,Glasgow City,Glasgow,55.861,-4.2488,1,National,0,GBR
GBR4398,2022-03-04,1,Protests,Peaceful protest,Protesters (United Kingdom),Migrants (International); Protesters (International); Labor Group (International); IWGB: Independent Workers Union of Great Britain; Labor Group (United Kingdom),,,United Kingdom,England,Greater London,London - Southwark,51.5035,-0.0804,1,Other,0,GBR
GBR4391,2022-02-26,1,Protests,Peaceful protest,Protesters (United Kingdom),Health Workers (United Kingdom),,,United Kingdom,England,Oxfordshire,Oxford,51.752,-1.2578,1,Subnational,0,GBR
GBR4396,2022-02-26,1,Protests,Peaceful protest,Protesters (United Kingdom),Labor Group (United Kingdom); Unite the Union (United Kingdom); Health Workers (United Kingdom),,,United Kingdom,England,Bath and North East Somerset,Bath,51.3816,-2.3608,1,Subnational,0,GBR
GBR4379,2022-03-02,1,Protests,Peaceful protest,Protesters (United Kingdom),Teachers (United Kingdom),,,United Kingdom,Wales,Cardiff,Cardiff,51.4821,-3.1775,1,Subnational,0,GBR
GBR4406,2022-03-01,1,Protests,Peaceful protest,Protesters (United Kingdom),Teachers (United Kingdom),,,United Kingdom,Wales,Cardiff,Cardiff,51.4821,-3.1775,1,Subnational,0,GBR
GBR4448,2022-03-09,1,Protests,Peaceful protest,Protesters (United Kingdom),"Labor Group (United Kingdom); RMT: National Union of Rail, Maritime and Transport Workers",,,United Kingdom,England,Greater London,London - Camden,51.529,-0.1255,1,Subnational,0,GBR
GBR4476,2022-03-09,1,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,England,Hampshire,Winchester,51.067,-1.3248,1,Subnational,0,GBR
GBR4435,2022-03-04,1,Protests,Peaceful protest,Protesters (United Kingdom),40 Days for Life; Christian Group (United Kingdom),,,United Kingdom,Scotland,Glasgow City,Glasgow,55.861,-4.2488,1,Subnational,0,GBR
GBR4433,2022-03-09,1,Protests,Peaceful protest,Protesters (United Kingdom),40 Days for Life; Christian Group (United Kingdom),,,United Kingdom,Scotland,Glasgow City,Glasgow,55.861,-4.2488,1,Subnational,0,GBR
GBR4467,2022-03-11,1,Protests,Peaceful protest,Protesters (United Kingdom),Unite the Union (United Kingdom); Labor Group (United Kingdom),,,United Kingdom,England,Greater London,London - Westminster,51.4973,-0.1372,1,National,0,GBR
GBR4434,2022-03-05,1,Protests,Peaceful protest,Protesters (United Kingdom),40 Days for Life; Christian Group (United Kingdom),,,United Kingdom,Scotland,Glasgow City,Glasgow,55.861,-4.2488,1,Subnational,0,GBR
GBR4443,2022-03-09,1,Protests,Peaceful protest,Protesters (United Kingdom),Labor Group (United Kingdom),,,United Kingdom,England,Shropshire,Whitchurch,52.9699,-2.6865,1,Subnational,0,GBR
GBR4447,2022-03-08,1,Protests,Peaceful protest,Protesters (United Kingdom),"Labor Group (United Kingdom); GMB: General, Municipal and Boilermakers Union",,,United Kingdom,England,Wiltshire,Trowbridge,51.3192,-2.2041,1,Subnational,0,GBR
GBR4446,2022-03-07,1,Protests,Peaceful protest,Protesters (United Kingdom),"Labor Group (United Kingdom); GMB: General, Municipal and Boilermakers Union",,,United Kingdom,England,Wiltshire,Salisbury,51.0691,-1.7954,1,Subnational,0,GBR
GBR4445,2022-03-07,1,Protests,Peaceful protest,Protesters (United Kingdom),"Labor Group (United Kingdom); GMB: General, Municipal and Boilermakers Union",,,United Kingdom,England,Wiltshire,Trowbridge,51.3192,-2.2041,1,Subnational,0,GBR
GBR4495,2022-03-14,1,Protests,Peaceful protest,Protesters (United Kingdom),"GMB: General, Municipal and Boilermakers Union; Labor Group (United Kingdom)",,,United Kingdom,England,West Sussex,Lancing,50.826,-0.3226,1,National,0,GBR
GBR4534,2022-03-17,1,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,England,Greater Manchester,Manchester,53.4809,-2.2374,1,Subnational,0,GBR
GBR4494,2022-03-10,1,Protests,Peaceful protest,Protesters (United Kingdom),"GMB: General, Municipal and Boilermakers Union; Labor Group (United Kingdom)",,,United Kingdom,England,Cumbria,Barrow-in-Furness,54.1113,-3.2289,1,Subnational,0,GBR
GBR4496,2022-03-14,1,Protests,Peaceful protest,Protesters (United Kingdom),"GMB: General, Municipal and Boilermakers Union; Labor Group (United Kingdom)",,,United Kingdom,England,Wiltshire,Trowbridge,51.3192,-2.2041,1,Subnational,0,GBR
GBR4492,2022-03-15,1,Protests,Peaceful protest,Protesters (United Kingdom),Farmers (United Kingdom),,,United Kingdom,England,Oxfordshire,Oxford,51.752,-1.2578,1,Subnational,0,GBR
GBR4501,2022-03-18,1,Protests,Peaceful protest,Protesters (United Kingdom),Labor Group (United Kingdom),,,United Kingdom,England,Worcestershire,Worcester,52.1923,-2.2219,1,Subnational,0,GBR
GBR4541,2022-03-21,1,Protests,Peaceful protest,Protesters (United Kingdom),ACORN Union; Labor Group (United Kingdom),,,United Kingdom,England,Cornwall,Falmouth,50.1552,-5.0688,1,New media-Subnational,0,GBR
GBR4568,2022-03-21,1,Protests,Peaceful protest,Protesters (United Kingdom),Labor Group (United Kingdom),,,United Kingdom,England,Greater London,London - Westminster,51.4973,-0.1372,1,Other-National,0,GBR
GBR4571,2022-03-23,1,Protests,Peaceful protest,Protesters (United Kingdom),"Labor Group (United Kingdom); RMT: National Union of Rail, Maritime and Transport Workers; SSP: Scottish Socialist Party",,,United Kingdom,Scotland,Dumfries and Galloway,Cairnryan,54.9739,-5.0249,1,Subnational,0,GBR
GBR4574,2022-03-21,1,Protests,Peaceful protest,Protesters (United Kingdom),Labor Group (United Kingdom); UCU: University and College Union; Teachers (United Kingdom),,,United Kingdom,England,Tyne and Wear,Newcastle upon Tyne,54.9742,-1.6135,1,New media-National,0,GBR
GBR4576,2022-03-21,1,Protests,Peaceful protest,Protesters (United Kingdom),Labor Group (United Kingdom); UCU: University and College Union; Teachers (United Kingdom),,,United Kingdom,England,West Yorkshire,Leeds,53.7996,-1.5491,1,New media-National,0,GBR
GBR4578,2022-03-21,1,Protests,Peaceful protest,Protesters (United Kingdom),Labor Group (United Kingdom); UCU: University and College Union; Teachers (United Kingdom),,,United Kingdom,England,Nottingham,Nottingham,52.9532,-1.1497,1,New media-National,0,GBR
GBR4580,2022-03-21,1,Protests,Peaceful protest,Protesters (United Kingdom),Labor Group (United Kingdom); UCU: University and College Union; Teachers (United Kingdom),,,United Kingdom,Scotland,Dundee City,Dundee,56.4602,-2.9704,1,New media-National,0,GBR
GBR4585,2022-03-22,1,Protests,Peaceful protest,Protesters (United Kingdom),Labor Group (United Kingdom); UCU: University and College Union; Teachers (United Kingdom),,,United Kingdom,England,Tyne and Wear,Newcastle upon Tyne,54.9742,-1.6135,1,New media-National,0,GBR
GBR4586,2022-03-22,1,Protests,Peaceful protest,Protesters (United Kingdom),Labor Group (United Kingdom); UCU: University and College Union; Teachers (United Kingdom),,,United Kingdom,England,Tyne and Wear,Newcastle upon Tyne,54.9742,-1.6135,1,New media-National,0,GBR
GBR4589,2022-03-22,1,Protests,Peaceful protest,Protesters (United Kingdom),Labor Group (United Kingdom); UCU: University and College Union; Teachers (United Kingdom),,,United Kingdom,Scotland,Dundee City,Dundee,56.4602,-2.9704,1,New media-National,0,GBR
GBR4590,2022-03-22,1,Protests,Peaceful protest,Protesters (United Kingdom),Labor Group (United Kingdom); UCU: University and College Union; Teachers (United Kingdom),,,United Kingdom,England,West Yorkshire,Leeds,53.7996,-1.5491,1,New media-National,0,GBR
GBR4591,2022-03-22,1,Protests,Peaceful protest,Protesters (United Kingdom),Labor Group (United Kingdom); UCU: University and College Union; Teachers (United Kingdom),,,United Kingdom,England,East Sussex,Falmer,50.8624,-0.0762,1,New media-National,0,GBR
GBR4592,2022-03-22,1,Protests,Peaceful protest,Protesters (United Kingdom),Labor Group (United Kingdom); UCU: University and College Union; Teachers (United Kingdom); Green Party (United Kingdom),,,United Kingdom,England,Greater London,London - Kensington and Chelsea,51.502,-0.1947,1,New media-National,0,GBR
GBR4595,2022-03-22,1,Protests,Peaceful protest,Protesters (United Kingdom),Labor Group (United Kingdom); UCU: University and College Union; Teachers (United Kingdom); Students (United Kingdom),,,United Kingdom,England,Greater London,London - Camden,51.529,-0.1255,1,New media-National,0,GBR
GBR4565,2022-03-24,1,Protests,Peaceful protest,Protesters (United Kingdom),IWGB: Independent Workers Union of Great Britain; Labor Group (United Kingdom),,,United Kingdom,England,Tyne and Wear,Newcastle upon Tyne,54.9742,-1.6135,1,Subnational,0,GBR
GBR4627,2022-03-20,1,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,Scotland,East Lothian,North Berwick,56.0581,-2.7209,1,Subnational,0,GBR
GBR4607,2022-03-22,1,Protests,Peaceful protest,Protesters (United Kingdom),Students (United Kingdom); Women (United Kingdom),,,United Kingdom,England,Greater Manchester,Manchester,53.4809,-2.2374,1,Subnational,0,GBR
GBR4629,2022-03-22,2,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,England,Oxfordshire,Oxford,51.752,-1.2578,1,Subnational,0,GBR
GBR4603,2022-03-24,1,Protests,Peaceful protest,Protesters (United Kingdom),Students (United Kingdom),,,United Kingdom,Scotland,Dundee City,Dundee,56.4602,-2.9704,1,Subnational,0,GBR
GBR4570,2022-03-25,1,Protests,Peaceful protest,Protesters (United Kingdom),Labor Group (United Kingdom),,,United Kingdom,England,Greater Manchester,Bolton,53.5783,-2.43,1,Subnational,0,GBR
GBR4549,2022-03-19,2,Protests,Peaceful protest,Protesters (United Kingdom),Farmers (United Kingdom),,,United Kingdom,Scotland,Aberdeenshire,Oldmeldrum,57.3351,-2.3191,1,Subnational,0,GBR
GBR4566,2022-03-19,1,Protests,Peaceful protest,Protesters (United Kingdom),Labor Group (United Kingdom),,,United Kingdom,Scotland,Fife,Comrie,56.086,-3.5774,1,Subnational,0,GBR
GBR4619,2022-03-12,1,Protests,Protest with intervention,Protesters (United Kingdom),,Rioters (United Kingdom),,United Kingdom,England,Wiltshire,Corsham,51.4304,-2.187,1,Subnational,0,GBR
GBR4654,2022-03-28,1,Protests,Peaceful protest,Protesters (United Kingdom),"RMT: National Union of Rail, Maritime and Transport Workers; Labor Group (United Kingdom)",,,United Kingdom,Scotland,Glasgow City,Glasgow,55.861,-4.2488,1,Subnational-National,0,GBR
GBR4656,2022-03-31,1,Protests,Peaceful protest,Protesters (United Kingdom),Students (United Kingdom); Labor Group (United Kingdom),,,United Kingdom,Scotland,North Lanarkshire,Chryston,55.9067,-4.0986,1,Subnational,0,GBR
GBR4651,2022-03-26,1,Protests,Peaceful protest,Protesters (United Kingdom),"Labor Group (United Kingdom); RMT: National Union of Rail, Maritime and Transport Workers",,,United Kingdom,England,Southampton,Southampton,50.9025,-1.4021,1,Subnational,0,GBR
GBR4663,2022-03-27,2,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,England,Tyne and Wear,Newcastle upon Tyne,54.9742,-1.6135,1,Subnational,0,GBR
GBR4722,2022-04-02,1,Protests,Peaceful protest,Protesters (United Kingdom),,,,United Kingdom,England,Dorset,Dorchester,50.7132,-2.4371,1,Subnational,0,GBR
GBR4711,2022-04-02,1,Protests,Peaceful protest,Protesters (United Kingdom),People's Assembly Against Austerity; Labor Group (United Kingdom),,,United Kingdom,Scotland,Glasgow City,Glasgow,55.861,-4.2488,1,Subnational,0,GBR
GBR4690,2022-04-06,1,Protests,Peaceful protest,Protesters (United Kingdom),"Labor Group (United Kingdom); RMT: National Union of Rail, Maritime and Transport Workers",,,United Kingdom,England,Merseyside,Liverpool,53.4072,-2.9917,1,Subnational,0,GBR
GBR4721,2022-04-02,1,Protests,Peaceful protest,Protesters (United Kingdom),Women (United Kingdom),,,United Kingdom,England,Greater London,London - Westminster,51.4973,-0.1372,1,National,0,GBR
GBR4766,2022-04-09,1,Protests,Peaceful protest,Protesters (United Kingdom),LGBTQ+ (United Kingdom),,,United Kingdom,England,Greater London,London - Westminster,51.4973,-0.1372,1,New media-National,0,GBR
