event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
SYR137951,2025-01-02,1,Battles,Armed clash,Bedouins Tribal Militia (Syria),,Bedouins Tribal Militia (Syria),,Syria,Dara,Izra,Izra',32.8677,36.2542,2,Other-Subnational,2,SYR
SYR138010,2025-01-01,1,Strategic developments,Change to group/activity,Global Coalition Against Daesh,,,,Syria,Aleppo,Ain Al Arab,Ain al Arab,36.8891,38.3521,1,Other,0,SYR
SYR138011,2025-01-02,1,Strategic developments,Change to group/activity,Global Coalition Against Daesh,,,,Syria,Aleppo,Ain Al Arab,Ain al Arab,36.8891,38.3521,2,Other,0,SYR
SYR138012,2025-01-02,1,Strategic developments,Headquarters or base established,Global Coalition Against Daesh,,,,Syria,Aleppo,Ain Al Arab,Ain al Arab,36.8891,38.3521,1,Other-National,0,SYR
SYR138014,2025-01-02,1,Strategic developments,Change to group/activity,Global Coalition Against Daesh,,,,Syria,Deir ez Zor,Abu Kamal,Shafa,34.5734,40.9398,1,National,0,SYR
SYR138069,2025-01-02,1,Violence against civilians,Attack,Islamic State in Iraq and the Levant (ISIL),,Civilians (Syria),Farmers (Syria),Syria,Homs,Tadmor,Tadmor,34.5656,38.2877,2,Other,1,SYR
SYR138157,2025-01-02,1,Battles,Armed clash,JWS: Syrian National Army,,QSD: Syrian Democratic Forces,Menbij Military Council,Syria,Aleppo,As Safira,Atshanah,35.834,37.6086,2,Local partner-New media,3,SYR
SYR138158,2025-01-02,1,Battles,Armed clash,JWS: Syrian National Army,Military Forces of Turkey (2016-),QSD: Syrian Democratic Forces,Menbij Military Council,Syria,Aleppo,Menbij,Husayn al Mukhallaf,35.7753,38.1265,2,Local partner-New media,4,SYR
SYR138160,2025-01-02,1,Battles,Armed clash,JWS: Syrian National Army,Military Forces of Turkey (2016-),QSD: Syrian Democratic Forces,Menbij Military Council,Syria,Aleppo,Ain Al Arab,Qarah Qawzak Bridge,36.6339,38.2058,2,Local partner-New media,5,SYR
SYR138252,2025-01-02,1,Strategic developments,Change to group/activity,Military Forces of Russia (2000-),,,,Syria,Al Hasakeh,Quamishli,Quamishli Airbase,37.0217,41.1965,2,Other,0,SYR
SYR138332,2025-01-03,1,Strategic developments,Other,Military Forces of Syria (2000-2024) Prison Guards,,Civilians (Syria),,Syria,Hama,As Suqaylabiyah,Al Ghab Plain,35.5604,36.3442,2,Other,0,SYR
SYR138341,2025-01-03,1,Strategic developments,Arrests,Military Forces of Syria (2024-),,Anti-Military Operations Command Militia (Syria),,Syria,Deir ez Zor,Abu Kamal,Al-Bukamal,34.4546,40.9116,1,Other,0,SYR
SYR138348,2025-01-02,1,Strategic developments,Arrests,Military Forces of Syria (2024-),,Civilians (Syria),Anti-Military Operations Command Militia (Syria),Syria,Homs,Homs,Homs - Ikrima,34.7107,36.7167,1,Other-National,0,SYR
SYR138349,2025-01-02,1,Strategic developments,Arrests,Military Forces of Syria (2024-),,Civilians (Syria),Anti-Military Operations Command Militia (Syria),Syria,Homs,Homs,Homs - Wadi al-Thahab,34.7013,36.7302,1,Other-National,0,SYR
SYR138366,2025-01-03,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,Asayish (Syria),,Syria,Ar Raqqa,Tell Abiad,Al-Hurriyeh,36.6791,38.7373,1,Local partner-New media,0,SYR
SYR138407,2025-01-01,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,QSD: Syrian Democratic Forces,,Syria,Aleppo,Ain Al Arab,Qarah Qawzak Bridge,36.6339,38.2058,2,Local partner-New media,3,SYR
SYR138408,2025-01-02,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,QSD: Syrian Democratic Forces,,Syria,Ar Raqqa,Ar Raqqa,Katuniyeh,35.9467,38.8843,1,National,0,SYR
SYR138409,2025-01-02,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,QSD: Syrian Democratic Forces,,Syria,Ar Raqqa,Ar Raqqa,Western Salhabiyeh,35.9554,38.79,2,National,0,SYR
SYR138411,2025-01-03,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,QSD: Syrian Democratic Forces,,Syria,Aleppo,Menbij,Sugar Factory,36.0229,37.9702,2,Local partner-New media,0,SYR
SYR138464,2025-01-01,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,,,Syria,Aleppo,Al Bab,Dayr Hafir,36.156,37.7093,1,Local partner-New media,0,SYR
SYR138466,2025-01-02,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,,,Syria,Ar Raqqa,Ath Thawrah,Jurneyyeh,36.1603,38.2339,2,Other,0,SYR
SYR138467,2025-01-02,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,,,Syria,Ar Raqqa,Tell Abiad,Khirbat Al-Baqr,36.5624,38.7542,1,Other,0,SYR
SYR138468,2025-01-02,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,,,Syria,Ar Raqqa,Tell Abiad,Kor Hassan,36.5758,38.7569,1,Other-National,0,SYR
SYR138469,2025-01-02,1,Strategic developments,Headquarters or base established,Military Forces of Turkey (2016-),,,,Syria,Aleppo,Ain Al Arab,Qarah Qawzak Bridge,36.6339,38.2058,2,Other,0,SYR
SYR138470,2025-01-02,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,,,Syria,Ar Raqqa,Tell Abiad,Tell Abiad,36.6978,38.9548,2,Other-National,0,SYR
SYR138471,2025-01-03,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,,,Syria,Al Hasakeh,Ras Al Ain,Abu Rasin,36.8465,40.3284,1,Other,0,SYR
SYR138473,2025-01-03,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,,,Syria,Aleppo,As Safira,Atshanah,35.834,37.6086,1,Other,0,SYR
SYR138474,2025-01-03,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,,,Syria,Aleppo,Menbij,Husayn al Mukhallaf,35.7753,38.1265,1,Other,0,SYR
SYR138477,2025-01-03,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,,,Syria,Al Hasakeh,Al Hasakeh,Tal Tamer,36.6534,40.3718,2,Other,0,SYR
SYR138548,2025-01-01,1,Explosions/Remote violence,Shelling/artillery/missile attack,Operation Peace Spring,JWS: Syrian National Army,QSD: Syrian Democratic Forces,,Syria,Ar Raqqa,Tell Abiad,Ein Issa,36.3837,38.8628,2,National,0,SYR
SYR138549,2025-01-01,1,Explosions/Remote violence,Shelling/artillery/missile attack,Operation Peace Spring,JWS: Syrian National Army,QSD: Syrian Democratic Forces,,Syria,Ar Raqqa,Tell Abiad,Tell Abiad,36.6978,38.9548,2,National,0,SYR
SYR138550,2025-01-02,1,Explosions/Remote violence,Shelling/artillery/missile attack,Operation Peace Spring,JWS: Syrian National Army; Military Forces of Turkey (2016-),QSD: Syrian Democratic Forces,,Syria,Al Hasakeh,Ras Al Ain,Abu Rasin,36.8465,40.3284,2,Other-Subnational,0,SYR
SYR138551,2025-01-02,1,Explosions/Remote violence,Shelling/artillery/missile attack,Operation Peace Spring,JWS: Syrian National Army,QSD: Syrian Democratic Forces,,Syria,Al Hasakeh,Ras Al Ain,Dardara,36.8337,40.1726,1,Subnational,0,SYR
SYR138552,2025-01-02,1,Explosions/Remote violence,Shelling/artillery/missile attack,Operation Peace Spring,JWS: Syrian National Army; Military Forces of Turkey (2016-),QSD: Syrian Democratic Forces,,Syria,Al Hasakeh,Al Hasakeh,Tal Tamer,36.6534,40.3718,2,Other-Subnational,0,SYR
SYR138640,2025-01-02,1,Protests,Peaceful protest,Protesters (Syria),,,,Syria,Rural Damascus,Duma,Duma,33.5706,36.4046,1,Other,0,SYR
SYR138642,2025-01-02,1,Explosions/Remote violence,Shelling/artillery/missile attack,QSD: Syrian Democratic Forces,,Ahrar al Sharqiyah,Hamza Brigade,Syria,Al Hasakeh,Al Hasakeh,Qasemiyeh,36.7059,40.3406,1,Other,3,SYR
SYR138683,2025-01-03,1,Violence against civilians,Abduction/forced disappearance,QSD: Syrian Democratic Forces,,Civilians (Syria),,Syria,Deir ez Zor,Al Mayadin,Al-Hawayij,35.0574,40.4924,1,Other,0,SYR
SYR138700,2025-01-02,1,Strategic developments,Disrupted weapons use,QSD: Syrian Democratic Forces,,Military Forces of Turkey (2016-),,Syria,Aleppo,Ain Al Arab,Ain al Arab,36.8891,38.3521,2,Other,0,SYR
SYR138737,2025-01-01,1,Battles,Armed clash,Rijal al Karama,,Sheikh al-Karama,,Syria,As Sweida,Shahba,Majadel,32.9162,36.551,1,Local partner-New media,4,SYR
SYR138750,2025-01-02,1,Battles,Armed clash,Unidentified Armed Group (Syria),,Ahrar al Sharqiyah,,Syria,Al Hasakeh,Ras Al Ain,Ras al-Ain,36.8494,40.0747,1,Other-Subnational,1,SYR
SYR138751,2025-01-03,1,Battles,Armed clash,Unidentified Armed Group (Syria),,Ahrar al Sharqiyah,,Syria,Al Hasakeh,Ras Al Ain,Ras al-Ain,36.8494,40.0747,1,Other,1,SYR
SYR138847,2025-01-02,1,Battles,Armed clash,Unidentified Armed Group (Syria),,JaS: Levant Front,,Syria,Aleppo,Al Bab,Al Bab,36.3697,37.5149,1,Other,2,SYR
SYR138908,2025-01-01,1,Violence against civilians,Attack,Unidentified Armed Group (Syria),,Civilians (Syria),Former Government of Syria (2024-),Syria,Rural Damascus,Duma,Adra,33.6044,36.5158,1,Other,0,SYR
SYR138909,2025-01-01,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Syria),,Civilians (Syria),Farmers (Syria),Syria,Deir ez Zor,Deir ez Zor,Al Salhiyyah,35.3539,40.1719,1,Other-National,0,SYR
SYR138912,2025-01-01,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Syria),,Civilians (Syria),,Syria,Deir ez Zor,Deir ez Zor,Khasham,35.2984,40.2894,1,Other,2,SYR
SYR138913,2025-01-01,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Syria),,Civilians (Syria),,Syria,As Sweida,As Sweida,Rimet Al-Lahaf,32.8322,36.5247,1,National,0,SYR
SYR138915,2025-01-02,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Syria),,Civilians (Syria),,Syria,Lattakia,Al Haffa,Ain al Ashra,35.7788,36.135,1,National,2,SYR
SYR138917,2025-01-02,1,Violence against civilians,Attack,Unidentified Armed Group (Syria),,Civilians (Syria),Former Opposition Rebels (Syria),Syria,Dara,As Sanamayn,As-Sanamayn,33.0711,36.1833,1,Subnational-National,1,SYR
SYR138919,2025-01-02,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Syria),,Civilians (Syria),,Syria,Aleppo,Jebel Saman,Daret Azza,36.285,36.8511,1,Other,1,SYR
SYR138921,2025-01-02,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Syria),,Civilians (Syria),,Syria,Aleppo,Jebel Saman,Kafr Aleppo,36.0598,36.8695,1,Other,0,SYR
SYR138922,2025-01-02,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Syria),,Civilians (Syria),,Syria,Idleb,Al Mara,Kafrsajna,35.5271,36.5896,1,Other-National,0,SYR
SYR138923,2025-01-02,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Syria),,Civilians (Syria),,Syria,Aleppo,Menbij,Shash Hamdan,36.3118,38.1621,2,Other,0,SYR
SYR138925,2025-01-02,1,Violence against civilians,Attack,Unidentified Armed Group (Syria),,Civilians (Syria),,Syria,Homs,Al Makhrim,Upper Makhrim,34.8165,37.0805,2,Other-National,1,SYR
SYR138926,2025-01-03,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Syria),,Civilians (Syria),,Syria,Idleb,Al Mara,Ftireh,35.6097,36.4853,1,National,0,SYR
SYR138929,2025-01-03,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Syria),,Civilians (Syria),,Syria,Aleppo,Afrin,Shawarighat al Arz,36.5269,36.9966,1,Other,1,SYR
SYR138942,2025-01-02,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Syria),,Military Forces of Syria (2024-),,Syria,Deir ez Zor,Al Mayadin,Al-Kashma,34.8156,40.6031,1,Other,1,SYR
SYR138961,2025-01-01,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Syria),,,,Syria,Aleppo,Azaz,Deir Jamal,36.4456,37.0279,1,Local partner-New media,0,SYR
SYR138962,2025-01-02,1,Explosions/Remote violence,Grenade,Unidentified Armed Group (Syria),,,,Syria,Dara,Dara,Tafas,32.7362,36.0673,1,Subnational,0,SYR
SYR138964,2025-01-05,1,Strategic developments,Change to group/activity,Global Coalition Against Daesh,,,,Syria,Al Hasakeh,Al Hasakeh,Al-Hasakeh,36.5054,40.7429,1,Subnational,0,SYR
SYR138965,2025-01-05,1,Violence against civilians,Abduction/forced disappearance,QSD: Syrian Democratic Forces,,Civilians (Syria),,Syria,Al Hasakeh,Al Hasakeh,Al-Hasakeh - Al Ghazal,36.5097,40.7663,1,Subnational-National,0,SYR
SYR138970,2025-01-07,1,Violence against civilians,Abduction/forced disappearance,QSD: Syrian Democratic Forces,,Civilians (Syria),,Syria,Al Hasakeh,Al Hasakeh,Hole,36.3905,41.1506,1,Subnational-National,0,SYR
SYR138971,2025-01-08,1,Battles,Armed clash,Operation Peace Spring,JWS: Syrian National Army,QSD: Syrian Democratic Forces,,Syria,Al Hasakeh,Al Hasakeh,Dsheisha,36.648,40.2828,1,Subnational,0,SYR
SYR138972,2025-01-06,1,Protests,Peaceful protest,Protesters (Syria),,,,Syria,Al Hasakeh,Al Hasakeh,Al Hariri,36.0456,40.7588,1,Subnational,0,SYR
SYR138977,2025-01-08,1,Strategic developments,Change to group/activity,Global Coalition Against Daesh,,,,Syria,Al Hasakeh,Al Hasakeh,Shadadah,36.0534,40.7268,1,Subnational,0,SYR
SYR138978,2025-01-09,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Syria),,QSD: Syrian Democratic Forces,,Syria,Al Hasakeh,Al Hasakeh,Shadadah,36.0534,40.7268,2,Other-Subnational,0,SYR
SYR138980,2025-01-06,1,Explosions/Remote violence,Shelling/artillery/missile attack,Operation Peace Spring,JWS: Syrian National Army,QSD: Syrian Democratic Forces,,Syria,Al Hasakeh,Al Hasakeh,Kozliyeh,36.6249,40.2253,2,Subnational,0,SYR
SYR138983,2025-01-05,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Syria),,Civilians (Syria),,Syria,Al Hasakeh,Al Hasakeh,Rashidiya,36.7078,40.3636,2,Subnational-National,0,SYR
SYR138987,2025-01-05,1,Explosions/Remote violence,Shelling/artillery/missile attack,Operation Peace Spring,JWS: Syrian National Army,QSD: Syrian Democratic Forces,,Syria,Al Hasakeh,Al Hasakeh,Tal Tamer,36.6534,40.3718,2,Subnational-National,0,SYR
SYR138988,2025-01-07,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,,,Syria,Al Hasakeh,Al Hasakeh,Tall Tawil,36.663,40.2836,1,Other,0,SYR
SYR138989,2025-01-08,1,Battles,Armed clash,Operation Peace Spring,JWS: Syrian National Army,QSD: Syrian Democratic Forces,,Syria,Al Hasakeh,Al Hasakeh,Tall Tawil,36.663,40.2836,1,Subnational,0,SYR
SYR138991,2025-01-06,1,Explosions/Remote violence,Shelling/artillery/missile attack,Operation Peace Spring,JWS: Syrian National Army,QSD: Syrian Democratic Forces,,Syria,Al Hasakeh,Al Hasakeh,Umm Al-Kayf,36.6757,40.3206,2,Subnational,0,SYR
SYR138992,2025-01-07,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,,,Syria,Al Hasakeh,Al Hasakeh,Umm Al-Kayf,36.6757,40.3206,1,Other,0,SYR
SYR138993,2025-01-08,1,Explosions/Remote violence,Shelling/artillery/missile attack,Operation Peace Spring,JWS: Syrian National Army; Military Forces of Turkey (2016-),QSD: Syrian Democratic Forces,,Syria,Al Hasakeh,Al Hasakeh,Umm Al-Kayf,36.6757,40.3206,1,Subnational-National,0,SYR
SYR138995,2025-01-08,1,Battles,Armed clash,Operation Peace Spring,JWS: Syrian National Army; Military Forces of Turkey (2016-),QSD: Syrian Democratic Forces,,Syria,Al Hasakeh,Al Hasakeh,Umm Al-Khair,36.6301,40.2581,1,Subnational-National,0,SYR
SYR138996,2025-01-08,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,QSD: Syrian Democratic Forces,,Syria,Al Hasakeh,Al Malikeyyeh,Al-Malikeyyeh,37.1745,42.1403,2,Subnational-National,0,SYR
SYR138997,2025-01-10,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,,,Syria,Al Hasakeh,Al Malikeyyeh,Al-Malikeyyeh,37.1745,42.1403,2,Other,0,SYR
SYR138998,2025-01-08,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,,,Syria,Al Hasakeh,Al Malikeyyeh,Karziro - Tal Adas,37.008,42.0822,2,Other,0,SYR
SYR139000,2025-01-10,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,QSD: Syrian Democratic Forces,,Syria,Al Hasakeh,Al Malikeyyeh,Qara Chok mountain,37.081,42.2041,2,Other-Subnational,0,SYR
SYR139001,2025-01-08,1,Violence against civilians,Abduction/forced disappearance,QSD: Syrian Democratic Forces,,Civilians (Syria),,Syria,Al Hasakeh,Al Malikeyyeh,Al Jawadiyah,36.9866,41.8202,1,Subnational-National,0,SYR
SYR139005,2025-01-06,3,Violence against civilians,Attack,QSD: Syrian Democratic Forces,,Civilians (Syria),Prisoners (Syria); Women (Syria),Syria,Al Hasakeh,Quamishli,Quamishli,37.0447,41.2262,1,Subnational-National,1,SYR
SYR139007,2025-01-10,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,QSD: Syrian Democratic Forces,,Syria,Al Hasakeh,Quamishli,Shurak,37.0359,41.3445,1,Subnational,0,SYR
SYR139008,2025-01-05,1,Strategic developments,Disrupted weapons use,Operation Peace Spring,JWS: Syrian National Army,QSD: Syrian Democratic Forces,,Syria,Al Hasakeh,Ras Al Ain,Abu Rasin,36.8465,40.3284,2,Subnational,0,SYR
SYR139009,2025-01-10,1,Explosions/Remote violence,Air/drone strike,Operation Peace Spring,JWS: Syrian National Army; Military Forces of Turkey (2016-),QSD: Syrian Democratic Forces,,Syria,Al Hasakeh,Ras Al Ain,Abu Rasin,36.8465,40.3284,1,Other-Subnational,0,SYR
SYR139013,2025-01-07,1,Explosions/Remote violence,Shelling/artillery/missile attack,Operation Peace Spring,JWS: Syrian National Army; Military Forces of Turkey (2016-),QSD: Syrian Democratic Forces,,Syria,Al Hasakeh,Ras Al Ain,Dardara,36.8337,40.1726,1,Other-Subnational,0,SYR
SYR139017,2025-01-04,1,Battles,Armed clash,Hamza Division - Aleppo,,Hamza Division - Aleppo,,Syria,Al Hasakeh,Ras Al Ain,Ras al-Ain,36.8494,40.0747,1,Other,0,SYR
SYR139018,2025-01-06,1,Violence against civilians,Abduction/forced disappearance,FaR: Al Rahman Corps,,Civilians (Syria),,Syria,Al Hasakeh,Ras Al Ain,Ras al-Ain,36.8494,40.0747,1,Other,0,SYR
SYR139020,2025-01-07,1,Violence against civilians,Attack,Sultan Murad Division,,Civilians (Syria),,Syria,Aleppo,Afrin,Qurna,36.7731,36.8421,1,Other-National,1,SYR
SYR139021,2025-01-05,2,Violence against civilians,Abduction/forced disappearance,Sultan Suleiman Shah Brigade (Syria),,Civilians (Syria),,Syria,Aleppo,Afrin,Sharan,36.6152,36.9373,1,Other,0,SYR
SYR139022,2025-01-05,2,Violence against civilians,Abduction/forced disappearance,Sultan Suleiman Shah Brigade (Syria),,Civilians (Syria),,Syria,Aleppo,Afrin,Anqalah,36.4626,36.6077,1,Other,0,SYR
SYR139025,2025-01-05,1,Strategic developments,Change to group/activity,Global Coalition Against Daesh,,,,Syria,Aleppo,Ain Al Arab,Ain al Arab,36.8891,38.3521,2,Other,0,SYR
SYR139026,2025-01-06,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,,,Syria,Aleppo,Ain Al Arab,Ain al Arab,36.8891,38.3521,2,Local partner-New media,0,SYR
SYR139027,2025-01-07,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,,,Syria,Aleppo,Ain Al Arab,Ain al Arab,36.8891,38.3521,2,Local partner-New media,0,SYR
SYR139032,2025-01-09,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,,,Syria,Aleppo,Ain Al Arab,Lower Shyookh,36.7506,38.0768,2,Other,0,SYR
SYR139041,2025-01-05,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),JWS: Syrian National Army,QSD: Syrian Democratic Forces,,Syria,Aleppo,Ain Al Arab,Qarah Qawzak Bridge,36.6339,38.2058,2,Other,13,SYR
SYR139042,2025-01-06,1,Battles,Armed clash,Military Forces of Turkey (2016-),JWS: Syrian National Army,QSD: Syrian Democratic Forces,,Syria,Aleppo,Ain Al Arab,Qarah Qawzak Bridge,36.6339,38.2058,2,Local partner-New media,5,SYR
SYR139043,2025-01-07,1,Battles,Armed clash,Military Forces of Turkey (2016-),JWS: Syrian National Army,QSD: Syrian Democratic Forces,,Syria,Aleppo,Ain Al Arab,Qarah Qawzak Bridge,36.6339,38.2058,2,Other,0,SYR
SYR139044,2025-01-08,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,,,Syria,Aleppo,Ain Al Arab,Qarah Qawzak Bridge,36.6339,38.2058,2,Other,0,SYR
SYR139045,2025-01-09,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,,,Syria,Aleppo,Ain Al Arab,Qarah Qawzak Bridge,36.6339,38.2058,1,Other-National,0,SYR
SYR139046,2025-01-10,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,QSD: Syrian Democratic Forces,,Syria,Aleppo,Ain Al Arab,Qarah Qawzak Bridge,36.6339,38.2058,1,Other,0,SYR
SYR139057,2025-01-05,1,Violence against civilians,Attack,JWS: Syrian National Army,,Civilians (Syria),Former Opposition Rebels (Syria); Refugees/IDPs (Syria),Syria,Aleppo,Al Bab,Al Bab,36.3697,37.5149,1,Other,1,SYR
SYR139061,2025-01-09,1,Explosions/Remote violence,Air/drone strike,QSD: Syrian Democratic Forces,,Faylaq al Majd,,Syria,Aleppo,Al Bab,Dayr Hafir,36.156,37.7093,2,Other,2,SYR
SYR139062,2025-01-07,1,Battles,Non-state actor overtakes territory,JWS: Syrian National Army,,QSD: Syrian Democratic Forces,,Syria,Aleppo,Menbij,Menbij,36.5258,37.951,2,National,0,SYR
SYR139065,2025-01-05,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Syria),,Civilians (Syria),QSD: Syrian Democratic Forces,Syria,Aleppo,Azaz,Al-Malikeyyeh,36.5435,36.9904,1,Other,0,SYR
SYR139068,2025-01-07,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Syria),,Liwaa AL Waqas,,Syria,Aleppo,Azaz,Maratet Um Hosh,36.4109,37.2118,1,Other,2,SYR
SYR139071,2025-01-04,1,Strategic developments,Other,Government of Syria (2024-),,,,Syria,Aleppo,Jarablus,Jarablus,36.8145,38.0099,2,National,0,SYR
SYR139073,2025-01-09,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,Civilians (Syria),,Syria,Aleppo,Ain Al Arab,Ain al Arab,36.8891,38.3521,2,Other,0,SYR
SYR139077,2025-01-07,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Syria),,Military Forces of Syria (2024-),,Syria,Aleppo,Jebel Saman,Hadher,35.9908,37.0516,2,Other,1,SYR
SYR139078,2025-01-05,1,Violence against civilians,Attack,Unidentified Armed Group (Syria),,Civilians (Syria),,Syria,Aleppo,Jebel Saman,Hayyan,36.3232,37.0591,1,Other,1,SYR
SYR139079,2025-01-04,1,Violence against civilians,Attack,YPG: Peoples Protection Units,,Civilians (Syria),,Syria,Aleppo,Jebel Saman,Aleppo - Al-Layramoun,36.2409,37.1044,1,National,0,SYR
SYR139080,2025-01-09,1,Violence against civilians,Attack,Unidentified Armed Group (Syria),,Civilians (Syria),,Syria,Aleppo,Jebel Saman,Aleppo - Jibreen,36.183,37.2547,2,Other,1,SYR
SYR139081,2025-01-10,1,Battles,Armed clash,Anti-Military Operations Command Militia (Syria),,Military Forces of Syria (2024-) General Security Forces,,Syria,Aleppo,Jebel Saman,Aleppo - Marjeh,36.1839,37.1744,1,National,0,SYR
SYR139084,2025-01-05,1,Riots,Mob violence,Rioters (Syria),Students (Syria),Military Forces of Syria (2024-) General Security Forces,,Syria,Aleppo,Jebel Saman,Aleppo - University of Aleppo,36.2102,37.1215,1,National,0,SYR
SYR139099,2025-01-04,1,Battles,Armed clash,JWS: Syrian National Army,,QSD: Syrian Democratic Forces,,Syria,Aleppo,Menbij,Maskana,35.9696,38.0284,1,National,0,SYR
SYR139100,2025-01-05,1,Battles,Armed clash,JWS: Syrian National Army,,QSD: Syrian Democratic Forces,,Syria,Aleppo,Menbij,Maskana,35.9696,38.0284,1,New media-National,0,SYR
SYR139101,2025-01-07,1,Battles,Non-state actor overtakes territory,JWS: Syrian National Army,,QSD: Syrian Democratic Forces,,Syria,Aleppo,Menbij,Qawas,36.094,38.0102,2,National,0,SYR
SYR139102,2025-01-07,1,Violence against civilians,Abduction/forced disappearance,AAS: Ahrar al Sham,,Civilians (Syria),,Syria,Aleppo,Menbij,Big Osajli,36.4663,37.7624,1,Other,0,SYR
SYR139103,2025-01-04,1,Explosions/Remote violence,Shelling/artillery/missile attack,QSD: Syrian Democratic Forces,,Civilians (Syria),,Syria,Aleppo,Menbij,Menbij,36.5258,37.951,2,National,0,SYR
SYR139104,2025-01-05,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,QSD: Syrian Democratic Forces,,Syria,Aleppo,Menbij,Menbij,36.5258,37.951,2,National,0,SYR
SYR139105,2025-01-05,1,Explosions/Remote violence,Air/drone strike,QSD: Syrian Democratic Forces,,Civilians (Syria),Journalists (Syria),Syria,Aleppo,Menbij,Menbij,36.5258,37.951,2,National,0,SYR
SYR139107,2025-01-04,1,Battles,Armed clash,Operation Peace Spring,JWS: Syrian National Army; Military Forces of Turkey (2016-),QSD: Syrian Democratic Forces,,Syria,Ar Raqqa,Ar Raqqa,Ar-Raqqa,35.9428,39.0519,2,National,0,SYR
SYR139108,2025-01-06,1,Violence against civilians,Abduction/forced disappearance,QSD: Syrian Democratic Forces,,Civilians (Syria),,Syria,Ar Raqqa,Ar Raqqa,Ar-Raqqa,35.9428,39.0519,1,National,0,SYR
SYR139109,2025-01-10,1,Violence against civilians,Abduction/forced disappearance,QSD: Syrian Democratic Forces,,Civilians (Syria),,Syria,Ar Raqqa,Ar Raqqa,Ar-Raqqa,35.9428,39.0519,1,National,0,SYR
