event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
HUN210,2021-01-31,1,Protests,Peaceful protest,Protesters (Hungary),MHM: Our Homeland Movement; Government of Hungary (2010-),,,Hungary,Budapest,District 14,Budapest - XIV,47.518,19.1143,1,National,0,HUN
HUN211,2021-02-01,1,Protests,Peaceful protest,Protesters (Hungary),,,,Hungary,Budapest,District 14,Budapest - XIV,47.518,19.1143,1,National,0,HUN
HUN208,2021-01-23,1,Protests,Peaceful protest,Protesters (Hungary),Protesters (Russia),,,Hungary,Budapest,District 6,Budapest - VI,47.5097,19.0658,1,National,0,HUN
HUN209,2021-01-30,1,Protests,Peaceful protest,Protesters (Hungary),Students (Hungary),,,Hungary,Csongrad,Szegedi,Szeged,46.2544,20.1503,1,National,0,HUN
HUN213,2021-02-10,1,Protests,Peaceful protest,Protesters (Hungary),Students (Hungary),,,Hungary,Baranya,Pecsi,Pecs,46.0741,18.2304,1,Subnational-National,0,HUN
HUN212,2021-02-08,1,Protests,Peaceful protest,Protesters (Hungary),Students (Hungary); DK: Democratic Coalition; Government of Hungary (2010-),,,Hungary,Budapest,District 7,Budapest - VII,47.502,19.0755,1,National,0,HUN
HUN214,2021-02-25,1,Violence against civilians,Attack,Unidentified Armed Group (Hungary),,Civilians (Hungary),Women (Hungary),Hungary,Budapest,District 14,Budapest - XIV,47.518,19.1143,1,National,0,HUN
HUN215,2021-02-28,1,Protests,Peaceful protest,Protesters (Hungary),Government of Hungary (2010-),,,Hungary,Budapest,District 14,Budapest - XIV,47.518,19.1143,1,Other-National,0,HUN
HUN217,2021-03-08,1,Strategic developments,Change to group/activity,Government of Hungary (2010-),,,,Hungary,Budapest,,Budapest,47.4954,19.0414,3,National,0,HUN
HUN216,2021-03-08,1,Protests,Peaceful protest,Protesters (Hungary),IG: Identitarian Movement Hungary,,,Hungary,Budapest,District 5,Budapest - V,47.5003,19.0508,1,Other,0,HUN
HUN218,2021-03-15,1,Protests,Peaceful protest,Protesters (Hungary),Government of Hungary (2010-); MHM: Our Homeland Movement,,,Hungary,Budapest,District 5,Budapest - V,47.5003,19.0508,1,Other-National,0,HUN
HUN219,2021-03-20,1,Protests,Peaceful protest,Protesters (Hungary),,,,Hungary,Budapest,District 6,Budapest - VI,47.5097,19.0658,1,Other-National,0,HUN
HUN220,2021-03-28,1,Protests,Peaceful protest,Protesters (Hungary),,,,Hungary,Budapest,District 6,Budapest - VI,47.5097,19.0658,1,National,0,HUN
HUN224,2021-04-21,1,Protests,Peaceful protest,Protesters (Hungary),Government of Hungary (2010-); Momentum; Independent Politicians (Hungary),,,Hungary,Budapest,District 2,Budapest - II,47.5385,18.9833,1,National,0,HUN
HUN225,2021-04-23,1,Protests,Peaceful protest,Protesters (Hungary),Momentum; Government of Hungary (2010-); Independent Politicians (Hungary),,,Hungary,Budapest,District 6,Budapest - VI,47.5097,19.0658,1,National,0,HUN
HUN226,2021-05-01,1,Protests,Peaceful protest,Protesters (Hungary),Momentum; Government of Hungary (2010-); Independent Politicians (Hungary),,,Hungary,Budapest,District 5,Budapest - V,47.5003,19.0508,1,National,0,HUN
HUN227,2021-05-01,1,Protests,Peaceful protest,Protesters (Hungary),Labor Group (Hungary),,,Hungary,Gyor-Moson-Sopron,Gyori,Gyor,47.688,17.6348,1,National,0,HUN
HUN228,2021-05-06,1,Protests,Peaceful protest,Protesters (Hungary),,,,Hungary,Budapest,District 12,Budapest - XII,47.5,18.9851,1,National,0,HUN
HUN229,2021-05-08,1,Protests,Peaceful protest,Protesters (Hungary),Students (Hungary),,,Hungary,Budapest,District 13,Budapest - XIII,47.5338,19.0704,1,National,0,HUN
HUN237,2021-05-26,1,Protests,Peaceful protest,Protesters (Hungary),Government of Hungary (2010-); Independent Politicians (Hungary),,,Hungary,Budapest,District 5,Budapest - V,47.5003,19.0508,1,National,0,HUN
